Code,Name,Country,Exchange,Currency,Type,Isin
FIVG,Defiance 5G Next Gen Connectivity ETF,USA,NYSE ARCA,USD,ETF,US26922A2895
FIVIX,TOUCHSTONE INTERNATIONAL VALUE FUND INSTITUTIONAL CLASS,USA,NMFQS,USD,FUND,US89154Q6382
FIVNX,FIDELITY INTERNATIONAL VALUE FUND FIDELITY ADVISOR INTERNATIONAL VALUE FUND: CLASS B,USA,NMFQS,USD,FUND,
FIVR,Strategy Shares Nasdaq 5 Handl Index ETF,USA,NASDAQ,USD,ETF,US86280R8521
FIVRX,First Eagle U.S. Value Fund Class R4,USA,NMFQS,USD,FUND,US32008F5237
FIVZ,PIMCO 3-7 YEAR U.S. TREASURY INDEX FUND PIMCO 3-7 YEAR U.S. TREASURY INDEX FUND,USA,NYSE ARCA,USD,ETF,
FIWBHX,FIWBHX,USA,NMFQS,USD,Mutual Fund,
FIWNTX,FIWNTX,USA,NMFQS,USD,Mutual Fund,
FIWPVX,FIWPVX,USA,NMFQS,USD,Mutual Fund,
FIWRXX,FIWRXX,USA,NMFQS,USD,Mutual Fund,
FIXAFX,FIXAFX,USA,NMFQS,USD,Mutual Fund,
FIXKPX,FIXKPX,USA,NMFQS,USD,Mutual Fund,
FIXT_old,Procure ETF Trust II - Procure Disaster Recovery Strategy ETF,USA,NASDAQ,USD,ETF,US74280R3049
FIXX,Homology Medicines Inc,USA,NASDAQ,USD,Common Stock,US4380831077
FIXXBX,FIXXBX,USA,NMFQS,USD,Mutual Fund,
FIYDCX,FIYDCX,USA,NMFQS,USD,FUND,
FIYDHX,FIYDHX,USA,NMFQS,USD,Mutual Fund,
FIYHGX,FIYHGX,USA,NMFQS,USD,FUND,
FIYHLX,FIYHLX,USA,NMFQS,USD,Mutual Fund,
FIYLKX,FIYLKX,USA,NMFQS,USD,FUND,
FIYNMX,FIYNMX,USA,NMFQS,USD,FUND,
FIYPOX,FIYPOX,USA,NMFQS,USD,FUND,
FIYRQX,FIYRQX,USA,NMFQS,USD,FUND,
FIYTSX,FIYTSX,USA,NMFQS,USD,FUND,
FIYVUX,FIYVUX,USA,NMFQS,USD,FUND,
FIYVZX,FIYVZX,USA,NMFQS,USD,Mutual Fund,
FIYXWX,FIYXWX,USA,NMFQS,USD,FUND,
FIYY,GraniteShares YieldBOOST 20Y Treasuries ETF,USA,NYSE ARCA,USD,ETF,
FIZADX,FIZADX,USA,NMFQS,USD,Mutual Fund,
FIZCAX,FIZCAX,USA,NMFQS,USD,FUND,
FIZECX,FT 8916: Senior Loan Select Closed-End Portfolio Series 41,USA,NMFQS,USD,FUND,
FIZKIX,FT 9005: U.S. Equity Closed-End Portfolio Series 36,USA,NMFQS,USD,FUND,
FIZN,First Citizens Bancshares Inc,USA,PINK,USD,Common Stock,
FIZOMX,FT 9136: Pharmaceutical Select Portfolio Series 43 - Cash,USA,NMFQS,USD,FUND,
FJ,Fort James Corp,USA,NYSE,USD,Common Stock,
FJAKX,FIDELITY SERIES SMALL CAP DISCOVERY FUND CLASS F,USA,NMFQS,USD,FUND,
FJBOPX,FJBOPX,USA,NMFQS,USD,Mutual Fund,
FJBWSX,FJBWSX,USA,NMFQS,USD,FUND,
FJCC,Fedders Corp,USA,NYSE,USD,Common Stock,
FJCFAX,FJCFAX,USA,NMFQS,USD,Mutual Fund,
FJCJJX,FJCJJX,USA,NMFQS,USD,Mutual Fund,
FJCLLX,FJCLLX,USA,NMFQS,USD,Mutual Fund,
FJCPKX,FJCPKX,USA,NMFQS,USD,Mutual Fund,
FJDCBX,FJDCBX,USA,NMFQS,USD,Mutual Fund,
FJDMLX,FJDMLX,USA,NMFQS,USD,Mutual Fund,
FJDQPX,FJDQPX,USA,NMFQS,USD,Mutual Fund,
FJDSRX,FJDSRX,USA,NMFQS,USD,Mutual Fund,
FJDUTX,FJDUTX,USA,NMFQS,USD,Mutual Fund,
FJDWVX,FJDWVX,USA,NMFQS,USD,Mutual Fund,
FJDYXX,FJDYXX,USA,NMFQS,USD,Mutual Fund,
FJEAZX,FJEAZX,USA,NMFQS,USD,Mutual Fund,
FJEDBX,FJEDBX,USA,NMFQS,USD,Mutual Fund,
FJEHAX,FJEHAX,USA,NMFQS,USD,Mutual Fund,
FJEHFX,FJEHFX,USA,NMFQS,USD,Mutual Fund,
FJEPIX,FJEPIX,USA,NMFQS,USD,Mutual Fund,
FJERPX,FJERPX,USA,NMFQS,USD,Mutual Fund,
FJEVTX,FJEVTX,USA,NMFQS,USD,Mutual Fund,
FJFOGX,FJFOGX,USA,NMFQS,USD,Mutual Fund,
FJFQIX,FJFQIX,USA,NMFQS,USD,Mutual Fund,
FJHL,Fovea Jewelry Holdings Ltd,USA,PINK,USD,Common Stock,
FJHLD,Fovea Jewelry Holdings Ltd,USA,PINK,USD,Common Stock,
FJHMCX,FJHMCX,USA,NMFQS,USD,Mutual Fund,
FJHUFX,FJHUFX,USA,NMFQS,USD,FUND,
FJHUKX,FJHUKX,USA,NMFQS,USD,Mutual Fund,
FJHWHX,FJHWHX,USA,NMFQS,USD,FUND,
FJHYJX,FJHYJX,USA,NMFQS,USD,FUND,
FJICNX,FJICNX,USA,NMFQS,USD,FUND,
FJIEPX,FT 8565: Preferred Income Portfolio Series 102,USA,NMFQS,USD,FUND,
FJIFX,FIDELITY FREEDOM INDEX 2005 FUND INVESTOR CLASS,USA,NMFQS,USD,FUND,US3157932084
FJIGRX,FJIGRX,USA,NMFQS,USD,FUND,
FJIITX,FJIITX,USA,NMFQS,USD,FUND,
FJIIYX,FJIIYX,USA,NMFQS,USD,Mutual Fund,
FJIKVX,FJIKVX,USA,NMFQS,USD,FUND,
FJIMXX,FJIMXX,USA,NMFQS,USD,FUND,
FJIOF,FJIOF,USA,PINK,USD,Common Stock,
FJIOZX,FJIOZX,USA,NMFQS,USD,FUND,
FJIPEX,FJIPEX,USA,NMFQS,USD,Mutual Fund,
FJIVFX,FT 8886: Innovative Financial and Technology Portfolio Series 2,USA,NMFQS,USD,FUND,
FJIXHX,FT 8964: Municipal Advantage Closed-End and ETF Portfolio Series 62,USA,NMFQS,USD,FUND,
FJJBLX,FT 8994: FTP Virtual Economy Portfolio Series,USA,NMFQS,USD,FUND,
FJJDNX,FT 9090: Cboe Vest Large Cap Buffered Portfolio Series 14,USA,NMFQS,USD,FUND,
FJKOXX,FJKOXX,USA,NMFQS,USD,FUND,
FJLFSX,FJLFSX,USA,NMFQS,USD,Mutual Fund,
FJLHPX,FT 9318: Dividend Strength Opportunity Portfolio Series 17 - Cash,USA,NMFQS,USD,FUND,
FJLJWX,FJLJWX,USA,NMFQS,USD,Mutual Fund,
FJLLF,Fuji Oil Holdings Inc,USA,PINK,USD,Common Stock,JP3816400000
FJLLTX,FT 9348: Cybersecurity Portfolio Series 24 - Cash,USA,NMFQS,USD,FUND,
FJLPXX,FJLPXX,USA,NMFQS,USD,FUND,
FJLQCX,FJLQCX,USA,NMFQS,USD,Mutual Fund,
FJLUBX,FJLUBX,USA,NMFQS,USD,FUND,
FJMAHX,FJMAHX,USA,NMFQS,USD,Mutual Fund,
FJMELX,FJMELX,USA,NMFQS,USD,Mutual Fund,
FJMGNX,FJMGNX,USA,NMFQS,USD,Mutual Fund,
FJMGSX,FJMGSX,USA,NMFQS,USD,Mutual Fund,
FJMRCX,FJMRCX,USA,NMFQS,USD,Mutual Fund,
FJMTEX,FJMTEX,USA,NMFQS,USD,Mutual Fund,
FJMVX,FIDELITY MULTI-MANAGER 2040 FUND CLASS L,USA,NMFQS,USD,FUND,
FJMZKX,FJMZKX,USA,NMFQS,USD,Mutual Fund,
FJNFQX,FJNFQX,USA,NMFQS,USD,Mutual Fund,
FJNHSX,FJNHSX,USA,NMFQS,USD,Mutual Fund,
FJNJUX,FJNJUX,USA,NMFQS,USD,Mutual Fund,
FJNK,Pacific Global ETF Trust - Pacific Global Focused High Yield ETF,USA,NYSE ARCA,USD,ETF,
FJNLWX,FJNLWX,USA,NMFQS,USD,Mutual Fund,
FJNNYX,FJNNYX,USA,NMFQS,USD,Mutual Fund,
FJNQAX,FJNQAX,USA,NMFQS,USD,Mutual Fund,
FJNUEX,FJNUEX,USA,NMFQS,USD,Mutual Fund,
FJOAKX,FJOAKX,USA,NMFQS,USD,Mutual Fund,
FJOEOX,FJOEOX,USA,NMFQS,USD,Mutual Fund,
FJOISX,FJOISX,USA,NMFQS,USD,Mutual Fund,
FJORAX,FJORAX,USA,NMFQS,USD,Mutual Fund,
FJOTCX,FJOTCX,USA,NMFQS,USD,Mutual Fund,
FJPBX,FIDELITY JAPAN FUND FIDELITY ADVISOR JAPAN FUND: CLASS B,USA,NMFQS,USD,FUND,
FJPDX,FIDELITY ADVISOR EVENT DRIVEN OPPORTUNITIES FUND CLASS M,USA,NMFQS,USD,FUND,US3159127337
FJPPTX,FJPPTX,USA,NMFQS,USD,Mutual Fund,
FJQILX,FJQILX,USA,NMFQS,USD,Mutual Fund,
FJQSVX,FJQSVX,USA,NMFQS,USD,Mutual Fund,
FJRNKX,FJRNKX,USA,NMFQS,USD,FUND,
FJRRTX,FJRRTX,USA,NMFQS,USD,Mutual Fund,
FJRTQX,FJRTQX,USA,NMFQS,USD,FUND,
FJRVSX,FJRVSX,USA,NMFQS,USD,FUND,
FJRXUX,FJRXUX,USA,NMFQS,USD,FUND,
FJRXZX,FJRXZX,USA,NMFQS,USD,Mutual Fund,
FJRZWX,FJRZWX,USA,NMFQS,USD,FUND,
FJSBYX,FJSBYX,USA,NMFQS,USD,FUND,
FJSEAX,FJSEAX,USA,NMFQS,USD,FUND,
FJSGCX,FJSGCX,USA,NMFQS,USD,FUND,
FJSMIX,FT 8907: Global Bond Income Closed-End Portfolio Series 35,USA,NMFQS,USD,FUND,
FJSOKX,FT 9009: Cboe Vest Large Cap Deep Buffered Portfolio Series 8,USA,NMFQS,USD,FUND,
FJSOPX,FJSOPX,USA,NMFQS,USD,Mutual Fund,
FJSSOX,FT 9013: Cyclical Strength Portfolio Series 32,USA,NMFQS,USD,FUND,
FJSUQX,FJSUQX,USA,NMFQS,USD,FUND,
FJTHCX,FT 9147: Global Dividend Portfolio Series 65 - Cash,USA,NMFQS,USD,FUND,
FJTNF,Fuji Media Holdings Inc,USA,OTCGREY,USD,Common Stock,JP3819400007
FJTPPX,FJTPPX,USA,NMFQS,USD,Mutual Fund,
FJTRRX,FJTRRX,USA,NMFQS,USD,Mutual Fund,
FJTTOX,FT 9164: Preferred Income Portfolio Series 106 - Cash,USA,NMFQS,USD,FUND,
FJTXXX,FJTXXX,USA,NMFQS,USD,Mutual Fund,
FJTZZX,FJTZZX,USA,NMFQS,USD,Mutual Fund,
FJUBWX,FJUBWX,USA,NMFQS,USD,FUND,
FJUOIX,FT 9377: Balanced Income Select Portfolio Series 101 - Cash,USA,NMFQS,USD,FUND,
FJUUOX,FT 9307: U.S. Revenue Portfolio Series 20 - Cash,USA,NMFQS,USD,FUND,
FJUYSX,FT 9339: MLP Closed-End Fund and Energy Portfolio Series 72 - Cash,USA,NMFQS,USD,FUND,
FJVFDX,FJVFDX,USA,NMFQS,USD,Mutual Fund,
FJVHAX,FT 9412: California Municipal Income Select Closed-End Portfolio Series 86 - Cash,USA,NMFQS,USD,FUND,
FJVRKX,FJVRKX,USA,NMFQS,USD,Mutual Fund,
FJVVOX,FJVVOX,USA,NMFQS,USD,Mutual Fund,
FJVZXX,FJVZXX,USA,NMFQS,USD,Mutual Fund,
FJWKHX,FJWKHX,USA,NMFQS,USD,Mutual Fund,
FJWMEX,FJWMEX,USA,NMFQS,USD,Mutual Fund,
FJWQNX,FJWQNX,USA,NMFQS,USD,Mutual Fund,
FJWURX,FJWURX,USA,NMFQS,USD,Mutual Fund,
FJWWTX,FJWWTX,USA,NMFQS,USD,Mutual Fund,
FJWYVX,FJWYVX,USA,NMFQS,USD,Mutual Fund,
FJXAXX,FJXAXX,USA,NMFQS,USD,Mutual Fund,
FJXCZX,FJXCZX,USA,NMFQS,USD,Mutual Fund,
FJXEWX,FJXEWX,USA,NMFQS,USD,Mutual Fund,
FJXHDX,FJXHDX,USA,NMFQS,USD,Mutual Fund,
FJXJFX,FJXJFX,USA,NMFQS,USD,Mutual Fund,
FJXPLX,FJXPLX,USA,NMFQS,USD,Mutual Fund,
FJXRNX,FJXRNX,USA,NMFQS,USD,Mutual Fund,
FJXXTX,FJXXTX,USA,NMFQS,USD,Mutual Fund,
FJYDZX,FJYDZX,USA,NMFQS,USD,Mutual Fund,
FJYIDX,FJYIDX,USA,NMFQS,USD,Mutual Fund,
FJYWMX,FJYWMX,USA,NMFQS,USD,Mutual Fund,
FJZCSX,FJZCSX,USA,NMFQS,USD,Mutual Fund,
FJZEUX,FJZEUX,USA,NMFQS,USD,Mutual Fund,
FJZLAX,FJZLAX,USA,NMFQS,USD,Mutual Fund,
FKAFUX,FKAFUX,USA,NMFQS,USD,Mutual Fund,
FKAN,First Kansas Financial Corp,USA,NASDAQ,USD,Common Stock,
FKAUIX,FKAUIX,USA,NMFQS,USD,Mutual Fund,
FKAYMX,FKAYMX,USA,NMFQS,USD,Mutual Fund,
FKBCLX,FKBCLX,USA,NMFQS,USD,FUND,
FKBENX,FKBENX,USA,NMFQS,USD,FUND,
FKBGPX,FKBGPX,USA,NMFQS,USD,FUND,
FKBKTX,FKBKTX,USA,NMFQS,USD,FUND,
FKBMVX,FKBMVX,USA,NMFQS,USD,FUND,
FKBOXX,FKBOXX,USA,NMFQS,USD,FUND,
FKBQZX,FKBQZX,USA,NMFQS,USD,FUND,
FKBSX,FEDERATED KAUFMANN SMALL CAP FUND CLASS B SHARES,USA,NMFQS,USD,FUND,US3141726287
FKBTBX,FKBTBX,USA,NMFQS,USD,FUND,
FKBXFX,FKBXFX,USA,NMFQS,USD,FUND,
FKBXKX,FKBXKX,USA,NMFQS,USD,Mutual Fund,
FKBZMX,FKBZMX,USA,NMFQS,USD,Mutual Fund,
FKCAX,FRANKLIN FLEX CAP GROWTH FUND ADVISOR CLASS,USA,NMFQS,USD,FUND,
FKCBJX,FKCBJX,USA,NMFQS,USD,FUND,
FKCDLX,FKCDLX,USA,NMFQS,USD,FUND,
FKCGX,FRANKLIN FLEX CAP GROWTH FUND CLASS A,USA,NMFQS,USD,FUND,
FKCJRX,FT 9008: Virtual Economy Portfolio Series 3,USA,NMFQS,USD,FUND,
FKCJWX,FKCJWX,USA,NMFQS,USD,Mutual Fund,
FKCLTX,FT 9085: New York Municipal Income Select Closed-End Portfolio Series 61,USA,NMFQS,USD,FUND,
FKDGSX,FKDGSX,USA,NMFQS,USD,Mutual Fund,
FKDNF,Fujitsu Frontech Limited,USA,OTCGREY,USD,Common Stock,
FKDQXX,FT 9210: Mega-Cap Portfolio Series 60 - Cash,USA,NMFQS,USD,FUND,
FKDSZX,FT 9220: Richard Bernstein Advisors Tactical Series American Industrial Renaissance 2021-1 - Cash,USA,NMFQS,USD,FUND,
FKDXDX,FT 9238: S&P Dividend Aristocrats Buy-Write Portfolio Series 16 - Cash,USA,NMFQS,USD,FUND,
FKEDJX,FT 9284: Senior Loan & Limited Duration Closed-End Portfolio Series 100 - Cash,USA,NMFQS,USD,FUND,
FKELWX,FKELWX,USA,NMFQS,USD,Mutual Fund,
FKESCX,FKESCX,USA,NMFQS,USD,Mutual Fund,
FKETZX,FKETZX,USA,NMFQS,USD,FUND,
FKFEJX,FKFEJX,USA,NMFQS,USD,Mutual Fund,
FKFISX,FKFISX,USA,NMFQS,USD,Mutual Fund,
FKFS,First Keystone Financial Inc,USA,NASDAQ,USD,Common Stock,
FKFTCX,FKFTCX,USA,NMFQS,USD,Mutual Fund,
FKGBKX,FKGBKX,USA,NMFQS,USD,Mutual Fund,
FKGFOX,FKGFOX,USA,NMFQS,USD,Mutual Fund,
FKGNWX,FKGNWX,USA,NMFQS,USD,Mutual Fund,
FKGSAX,FKGSAX,USA,NMFQS,USD,Mutual Fund,
FKGUCX,FKGUCX,USA,NMFQS,USD,Mutual Fund,
FKGYGX,FKGYGX,USA,NMFQS,USD,Mutual Fund,
FKHGOX,FKHGOX,USA,NMFQS,USD,Mutual Fund,
FKHIQX,FKHIQX,USA,NMFQS,USD,Mutual Fund,
FKHQYX,FKHQYX,USA,NMFQS,USD,Mutual Fund,
FKHVCX,FKHVCX,USA,NMFQS,USD,Mutual Fund,
FKHZGX,FKHZGX,USA,NMFQS,USD,Mutual Fund,
FKINPX,FKINPX,USA,NMFQS,USD,Mutual Fund,
FKIOX,FKIOX,USA,NMFQS,USD,FUND,
FKIVXX,FKIVXX,USA,NMFQS,USD,Mutual Fund,
FKJMNX,FKJMNX,USA,NMFQS,USD,Mutual Fund,
FKJWXX,FKJWXX,USA,NMFQS,USD,Mutual Fund,
FKKFF,Fukuoka Fncl Group,USA,OTCGREY,USD,Common Stock,JP3805010000
FKKRRX,FKKRRX,USA,NMFQS,USD,Mutual Fund,
FKKXSX,FKKXSX,USA,NMFQS,USD,FUND,
FKKY,Frankfort First Bancorp Inc,USA,NASDAQ,USD,Common Stock,
FKL,FaithShares Lutheran Values Fund,USA,NYSE,USD,ETF,
FKLBWX,FKLBWX,USA,NMFQS,USD,FUND,
FKLCX,FRANKLIN K2 LONG SHORT CREDIT FUND CLASS C,USA,NMFQS,USD,FUND,US35241W8560
FKLDYX,FT 8566: Tactical Income Portfolio Series 61,USA,NMFQS,USD,FUND,
FKLGAX,FKLGAX,USA,NMFQS,USD,FUND,
FKLIHX,FKLIHX,USA,NMFQS,USD,Mutual Fund,
FKLMLX,FKLMLX,USA,NMFQS,USD,Mutual Fund,
FKLOIX,FT 8797: Cboe Vest Large Cap Deep Buffered Portfolio Series 5,USA,NMFQS,USD,FUND,
FKLQPX,FKLQPX,USA,NMFQS,USD,Mutual Fund,
FKLQX,FRANKLIN K2 LONG SHORT CREDIT FUND CLASS R6,USA,NMFQS,USD,FUND,US35241W8313
FKLRX,FRANKLIN K2 LONG SHORT CREDIT FUND CLASS R,USA,NMFQS,USD,FUND,US35241W8495
FKLSMX,FKLSMX,USA,NMFQS,USD,FUND,
FKLSX,FRANKLIN K2 LONG SHORT CREDIT FUND CLASS A,USA,NMFQS,USD,FUND,US35241W8644
FKLUOX,FT 8885: Emerging Markets Strength Portfolio Series 49,USA,NMFQS,USD,FUND,
FKLWQX,FT 8962: High-Yield Income Closed-End Portfolio Series 91,USA,NMFQS,USD,FUND,
FKLWVX,FKLWVX,USA,NMFQS,USD,Mutual Fund,
FKLZX,FRANKLIN K2 LONG SHORT CREDIT FUND ADVISOR CLASS,USA,NMFQS,USD,FUND,US35241W8230
FKMAUX,FT 9030: Interest Rate Hedge Portfolio Series 133,USA,NMFQS,USD,FUND,
FKMAX,FRANKLIN K2 GLOBAL MACRO OPPORTUNITIES FUND CLASS A,USA,NMFQS,USD,FUND,
FKMCWX,FT 9086: The Key 3 Portfolio Series 13,USA,NMFQS,USD,FUND,
FKMDX,FRANKLIN K2 GLOBAL MACRO OPPORTUNITIES FUND CLASS C,USA,NMFQS,USD,FUND,
FKMLEX,FT 9110: Target Global Dvd. Leaders 1Q '21 - Term 4/8/22 - Cash,USA,NMFQS,USD,FUND,
FKMOX,STRATEGIC ADVISERS VALUE MULTI-MANAGER FUND STRATEGIC ADVISERS VALUE MULTI-MANAGER FUND,USA,NMFQS,USD,FUND,US31635R7935
FKMPIX,FT 9125: Capital Strength Buy-Write Portfolio Series 55 - Cash,USA,NMFQS,USD,FUND,
FKMQX,FRANKLIN K2 GLOBAL MACRO OPPORTUNITIES FUND CLASS R6,USA,NMFQS,USD,FUND,
FKMRX,FRANKLIN K2 GLOBAL MACRO OPPORTUNITIES FUND CLASS R,USA,NMFQS,USD,FUND,
FKMZSX,FT 9133: Senior Loan & Limited Duration Closed-End Portfolio Series 99 - Cash,USA,NMFQS,USD,FUND,
FKMZX,FRANKLIN K2 GLOBAL MACRO OPPORTUNITIES FUND ADVISOR CLASS,USA,NMFQS,USD,FUND,
FKNDWX,FT 9171: Global Equity Income Closed-End Portfolio Series 72 - Cash,USA,NMFQS,USD,FUND,
FKNGDX,FKNGDX,USA,NMFQS,USD,Mutual Fund,
FKNIAX,FT 9247: Strategic Income Select Closed-End Portfolio Series 49 - Cash,USA,NMFQS,USD,FUND,
FKNKCX,FT 9214: Dow Jones Global Titans Portfolio Series 33 - Cash,USA,NMFQS,USD,FUND,
FKNUMX,FT 9334: Strategic Income Select Closed-End Portfolio Series 50 - Cash,USA,NMFQS,USD,FUND,
FKO,First Trust South Korea AlphaDEX Fund,USA,NASDAQ,USD,ETF,US33737J1667
FKOZVX,FKOZVX,USA,NMFQS,USD,Mutual Fund,
FKPBSX,FKPBSX,USA,NMFQS,USD,Mutual Fund,
FKPMCX,FKPMCX,USA,NMFQS,USD,Mutual Fund,
FKPSIX,FKPSIX,USA,NMFQS,USD,Mutual Fund,
FKPWRX,FKPWRX,USA,NMFQS,USD,Mutual Fund,
FKPYOX,FKPYOX,USA,NMFQS,USD,Mutual Fund,
FKPYTX,FKPYTX,USA,NMFQS,USD,Mutual Fund,
FKQEUX,FKQEUX,USA,NMFQS,USD,Mutual Fund,
FKQEZX,FKQEZX,USA,NMFQS,USD,Mutual Fund,
FKQLFX,FKQLFX,USA,NMFQS,USD,Mutual Fund,
FKQNHX,FKQNHX,USA,NMFQS,USD,Mutual Fund,
FKQPJX,FKQPJX,USA,NMFQS,USD,Mutual Fund,
FKQTIX,FKQTIX,USA,NMFQS,USD,Mutual Fund,
FKQVPX,FKQVPX,USA,NMFQS,USD,Mutual Fund,
FKQXRX,FKQXRX,USA,NMFQS,USD,Mutual Fund,
FKQZTX,FKQZTX,USA,NMFQS,USD,Mutual Fund,
FKRFZX,FKRFZX,USA,NMFQS,USD,Mutual Fund,
FKRNF,Falck Renewables Spa Ord,USA,OTCMKTS,USD,Common Stock,
FKRQEX,FKRQEX,USA,NMFQS,USD,Mutual Fund,
FKRQJX,FKRQJX,USA,NMFQS,USD,Mutual Fund,
FKSCX,FRANKLIN INTERNATIONAL SMALL CAP GROWTH FUND ADVISOR CLASS,USA,NMFQS,USD,FUND,US3535338889
FKSGUX,FKSGUX,USA,NMFQS,USD,Mutual Fund,
FKSHF,Fukushima Galilei Co.Ltd,USA,PINK,USD,Common Stock,JP3805150004
FKSVIX,FKSVIX,USA,NMFQS,USD,Mutual Fund,
FKSZMX,FKSZMX,USA,NMFQS,USD,Mutual Fund,
FKTHUX,FKTHUX,USA,NMFQS,USD,Mutual Fund,
FKTHX,FIDELITY FREEDOM K 2035 FUND FIDELITY FREEDOM K 2035 FUND,USA,NMFQS,USD,FUND,
FKTRX,Franklin Kentucky Tax-Free Income Fund6,USA,NMFQS,USD,FUND,US3547245288
FKTWX,FIDELITY FREEDOM K 2025 FUND FIDELITY FREEDOM K 2025 FUND,USA,NMFQS,USD,FUND,
FKTZX,Franklin Ky Tax-Free Income Fund Cl Advi,USA,NMFQS,USD,FUND,US3547248829
FKUAMX,FKUAMX,USA,NMFQS,USD,Mutual Fund,
FKUEQX,FKUEQX,USA,NMFQS,USD,Mutual Fund,
FKUKWX,FKUKWX,USA,NMFQS,USD,Mutual Fund,
FKUOVX,FKUOVX,USA,NMFQS,USD,FUND,
FKUSZX,FT 8474: Capital Strength Portfolio Series 50,USA,NMFQS,USD,FUND,
FKUVBX,FKUVBX,USA,NMFQS,USD,FUND,
FKUXDX,FKUXDX,USA,NMFQS,USD,FUND,
FKUZFX,FKUZFX,USA,NMFQS,USD,FUND,
FKVDJX,FKVDJX,USA,NMFQS,USD,FUND,
FKVFLX,FKVFLX,USA,NMFQS,USD,FUND,
FKVFX,FIDELITY FREEDOM K 2015 FUND FIDELITY FREEDOM K 2015 FUND,USA,NMFQS,USD,FUND,
FKVNYX,FKVNYX,USA,NMFQS,USD,Mutual Fund,
FKVRXX,FKVRXX,USA,NMFQS,USD,FUND,
FKVSCX,FKVSCX,USA,NMFQS,USD,Mutual Fund,
FKVTZX,FT 9061: SMid Capital Strength Portfolio Series 49,USA,NMFQS,USD,FUND,
FKWCHX,FKWCHX,USA,NMFQS,USD,FUND,
FKWGLX,FT 9118: Technology Dividend Portfolio Series 37 - Cash,USA,NMFQS,USD,FUND,
FKWUZX,FT 9160: Dow Target 10 Feb. '21 - Term 3/9/22 - Cash,USA,NMFQS,USD,FUND,
FKWXBX,FKWXBX,USA,NMFQS,USD,FUND,
FKXYBX,FT 9305: FTP Clean Energy Portfolio Series - Cash,USA,NMFQS,USD,FUND,
FKYCFX,FT 9346: Cloud Computing Portfolio Series 33 - Cash,USA,NMFQS,USD,FUND,
FKYCX,NUVEEN KENTUCKY MUNICIPAL BOND FUND NUVEEN KENTUCKY MUNICIPAL BOND FUND - CLASS C2,USA,NMFQS,USD,FUND,US67065R7052
FKYGOX,FKYGOX,USA,NMFQS,USD,Mutual Fund,
FKYQYX,FKYQYX,USA,NMFQS,USD,Mutual Fund,
FKZLSX,FKZLSX,USA,NMFQS,USD,Mutual Fund,
FKZNPX,FKZNPX,USA,NMFQS,USD,Mutual Fund,
FKZNUX,FKZNUX,USA,NMFQS,USD,Mutual Fund,
FKZWCX,FKZWCX,USA,NMFQS,USD,Mutual Fund,
FL,Foot Locker Inc,USA,NYSE,USD,Common Stock,US3448491049
FLA,Florida East Coast Industries Inc,USA,NASDAQ,USD,Common Stock,
FLAC,Frazier Lifesciences Acquisition Corp,USA,NASDAQ,USD,Common Stock,KYG3710A1058
FLACU,Frazier Lifesciences Acquisition Corp,USA,NASDAQ,USD,Common Stock,KYG3710A1215
FLACW,Frazier Lifesciences Acquisition Corp,USA,NASDAQ,USD,Common Stock,
FLAEKX,FLAEKX,USA,NMFQS,USD,Mutual Fund,
FLAF,Farm Lands of Africa Inc,USA,PINK,USD,Common Stock,US30767X1072
FLAG_old2,FLAG,USA,NYSE ARCA,USD,Common Stock,US3207031010
FLAG-U,FLAG-U,USA,NYSE,USD,Common Stock,
FLAG-WS,FLAG-WS,USA,NYSE,USD,Common Stock,
FLAG1,Flag Financial Corp,USA,NASDAQ,USD,Common Stock,
FLAGMX,FLAGMX,USA,NMFQS,USD,Mutual Fund,
FLAGX,AGGRESSIVE GROWTH FUND RETAIL CLASS,USA,NMFQS,USD,FUND,US58510R8878
FLAOUX,FLAOUX,USA,NMFQS,USD,Mutual Fund,
FLAS,Flashnet Communications Inc,USA,NASDAQ,USD,Common Stock,
FLAT,iPath US Treasury Flattener ETN,USA,NASDAQ,USD,ETF,US06740L4858
FLATX,FIDELITY LATIN AMERICA FUND FIDELITY LATIN AMERICA FUND,USA,NMFQS,USD,FUND,US3159108444
FLAUX,STRATEGIC ADVISERS CORE MULTI-MANAGER FUND STRATEGIC ADVISERS CORE MULTI-MANAGER FUND,USA,NMFQS,USD,FUND,US31635R8198
FLAVAX,FLAVAX,USA,NMFQS,USD,Mutual Fund,
FLAXCX,FLAXCX,USA,NMFQS,USD,Mutual Fund,
FLAYZX,FLAYZX,USA,NMFQS,USD,Mutual Fund,
FLB,First National Bankshares Of Florida Inc,USA,NYSE,USD,Common Stock,
FLB1,Fletcher Building Ltd,USA,NASDAQ,USD,Common Stock,
FLBAX,FIDELITY LONG-TERM TREASURY BOND INDEX FUND PREMIUM CLASS,USA,NMFQS,USD,FUND,US3159118187
FLBC,Finger Lakes Bancorp Inc,USA,NASDAQ,USD,Common Stock,
FLBIX,FIDELITY LONG-TERM TREASURY BOND INDEX FUND INVESTOR CLASS,USA,NMFQS,USD,FUND,US3159118260
FLBK,Florida Banks Inc,USA,NASDAQ,USD,Common Stock,
FLBSF,IQ-AI Limited,USA,PINK,USD,Common Stock,
FLC1,R&B Falcon Corp,USA,NYSE,USD,Common Stock,
FLCAX,FRANKLIN LARGE CAP EQUITY FUND CLASS A,USA,NMFQS,USD,FUND,
